epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1798.96,1.36042,2.02768,1.58592,0.60508,0.55489,0.56936,0.26743,1.7319,3.02837,2.18282,0.000663805,0.000663805,0.000663805
2,4136.55,1.35516,1.47333,1.56074,0.59917,0.54369,0.58363,0.29828,1.6409,1.99546,2.07587,0.00130413,0.00130413,0.00130413
3,5623.09,1.35336,1.30735,1.54722,0.52712,0.46453,0.46271,0.24178,1.63231,2.18351,2.01177,0.00191805,0.00191805,0.00191805
4,7488.5,1.31959,1.24345,1.52519,0.73937,0.68433,0.73108,0.39269,1.54058,1.4661,1.90965,0.0018812,0.0018812,0.0018812
5,8823.99,1.24733,1.10453,1.46404,0.78716,0.64631,0.72998,0.40818,1.55576,1.40282,1.88153,0.0018416,0.0018416,0.0018416
6,10114.9,1.19617,1.05633,1.43719,0.82897,0.76624,0.84882,0.51772,1.3112,1.16373,1.70568,0.001802,0.001802,0.001802
7,11402.3,1.14718,0.99841,1.4017,0.78897,0.72293,0.80578,0.47725,1.36525,1.18077,1.72535,0.0017624,0.0017624,0.0017624
8,12687.9,1.11611,0.94861,1.37659,0.76072,0.68185,0.76112,0.46436,1.35859,1.25401,1.76674,0.0017228,0.0017228,0.0017228
9,14004.7,1.08687,0.90466,1.3521,0.83599,0.79761,0.86315,0.52072,1.32138,0.97489,1.70796,0.0016832,0.0016832,0.0016832
10,15284.3,1.05207,0.86295,1.33143,0.85937,0.80956,0.87741,0.55096,1.23601,0.88971,1.60874,0.0016436,0.0016436,0.0016436
11,29132.5,1.03443,0.84806,1.31681,0.83923,0.81088,0.86895,0.56377,1.23106,0.97103,1.59824,0.001604,0.001604,0.001604
12,30421.4,1.00544,0.80522,1.29426,0.82033,0.79761,0.85546,0.53214,1.29285,0.97072,1.69508,0.0015644,0.0015644,0.0015644
13,31703.3,1.002,0.78323,1.29242,0.86921,0.82388,0.89429,0.57989,1.22391,0.90743,1.55756,0.0015248,0.0015248,0.0015248
14,32988.4,0.98139,0.77631,1.27445,0.82957,0.84093,0.88222,0.56906,1.22346,0.90101,1.60981,0.0014852,0.0014852,0.0014852
15,34271.2,0.94854,0.75262,1.25754,0.90593,0.8469,0.92503,0.61725,1.1652,0.75604,1.5592,0.0014456,0.0014456,0.0014456
16,35543.6,0.92755,0.72263,1.2439,0.82487,0.82664,0.85435,0.52943,1.29177,0.89477,1.64862,0.001406,0.001406,0.001406
17,36796.7,0.92795,0.72183,1.24466,0.85979,0.78566,0.86131,0.55684,1.21806,0.86859,1.5985,0.0013664,0.0013664,0.0013664
18,38075.5,0.89872,0.68,1.2218,0.87458,0.84765,0.90231,0.59376,1.17667,0.80714,1.57832,0.0013268,0.0013268,0.0013268
19,39387.4,0.89291,0.6794,1.22088,0.8997,0.83943,0.91074,0.59805,1.16236,0.76032,1.5438,0.0012872,0.0012872,0.0012872
20,40677.6,0.86981,0.66056,1.20393,0.81666,0.80503,0.86393,0.57549,1.1673,0.83986,1.58395,0.0012476,0.0012476,0.0012476
21,41957.6,0.86276,0.6407,1.19482,0.90052,0.81801,0.88271,0.58818,1.19627,0.76715,1.62706,0.001208,0.001208,0.001208
22,43243.4,0.82496,0.6304,1.18242,0.84449,0.81553,0.86642,0.55247,1.26558,0.86835,1.68232,0.0011684,0.0011684,0.0011684
23,44523,0.82951,0.61709,1.18098,0.88735,0.82226,0.89273,0.61223,1.14206,0.7922,1.54727,0.0011288,0.0011288,0.0011288
24,45792,0.8265,0.62102,1.18214,0.87224,0.82001,0.88505,0.58268,1.20808,0.79772,1.62674,0.0010892,0.0010892,0.0010892
25,47074.6,0.80412,0.61502,1.17378,0.87448,0.82226,0.90389,0.60102,1.1563,0.75953,1.5958,0.0010496,0.0010496,0.0010496
26,48361.9,0.78799,0.60044,1.15895,0.86901,0.79985,0.87543,0.58817,1.18624,0.78784,1.62103,0.00101,0.00101,0.00101
27,49608.7,0.76773,0.58157,1.14655,0.86353,0.85661,0.90821,0.61189,1.16495,0.75128,1.58956,0.0009704,0.0009704,0.0009704
28,50874,0.75405,0.57037,1.13592,0.8178,0.83469,0.87557,0.57368,1.1948,0.84643,1.61062,0.0009308,0.0009308,0.0009308
29,52114.2,0.74357,0.55758,1.13407,0.90231,0.84167,0.91119,0.60865,1.16676,0.72044,1.60075,0.0008912,0.0008912,0.0008912
30,53355.8,0.74691,0.56934,1.13988,0.88525,0.81813,0.8792,0.59041,1.15899,0.80531,1.56954,0.0008516,0.0008516,0.0008516
